[2021-12-20 04:46:07 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 17:28:11 | info | root]: Epoch : 93
[2021-12-20 17:28:11 | info | root]: Train Loss : 0.00528131
[2021-12-20 17:28:11 | info | root]: Test Loss : 0.005330041
[2021-12-20 17:39:08 | info | root]: Epoch : 94
[2021-12-20 17:39:08 | info | root]: Train Loss : 0.0051597566
[2021-12-20 17:39:08 | info | root]: Test Loss : 0.0052039316
[2021-12-20 17:50:19 | info | root]: Epoch : 95
[2021-12-20 17:50:19 | info | root]: Train Loss : 0.0054532066
[2021-12-20 17:50:19 | info | root]: Test Loss : 0.005478142
[2021-12-20 17:59:08 | info | root]: Epoch : 96
[2021-12-20 17:59:08 | info | root]: Train Loss : 0.005274003
[2021-12-20 17:59:08 | info | root]: Test Loss : 0.0053196033
[2021-12-20 18:07:44 | info | root]: Epoch : 97
[2021-12-20 18:07:44 | info | root]: Train Loss : 0.0052594813
[2021-12-20 18:07:44 | info | root]: Test Loss : 0.005336426
[2021-12-20 18:17:37 | info | root]: Epoch : 98
[2021-12-20 18:17:37 | info | root]: Train Loss : 0.0051480858
[2021-12-20 18:17:37 | info | root]: Test Loss : 0.005191275
[2021-12-20 18:24:51 | info | root]: Epoch : 99
[2021-12-20 18:24:51 | info | root]: Train Loss : 0.0051761037
[2021-12-20 18:24:51 | info | root]: Test Loss : 0.0052410355
[2021-12-20 18:32:07 | info | root]: Epoch : 100
[2021-12-20 18:32:07 | info | root]: Train Loss : 0.005306975
[2021-12-20 18:32:07 | info | root]: Test Loss : 0.0053524515
